env,file,pattern,platform,param,value
fsm_nested_switch_esp32_n8,fsm_nested_switch_esp32_n8.cpp,nested_switch,esp32,n_states,8
fsm_nested_switch_esp32_n16,fsm_nested_switch_esp32_n16.cpp,nested_switch,esp32,n_states,16
fsm_nested_switch_esp32_n32,fsm_nested_switch_esp32_n32.cpp,nested_switch,esp32,n_states,32
fsm_nested_switch_esp32_n64,fsm_nested_switch_esp32_n64.cpp,nested_switch,esp32,n_states,64
fsm_nested_switch_esp32_n128,fsm_nested_switch_esp32_n128.cpp,nested_switch,esp32,n_states,128
fsm_array_of_structs_esp32_n4,fsm_array_of_structs_esp32_n4.cpp,array_of_structs,esp32,n_states,4
fsm_array_of_structs_esp32_n8,fsm_array_of_structs_esp32_n8.cpp,array_of_structs,esp32,n_states,8
fsm_array_of_structs_esp32_n16,fsm_array_of_structs_esp32_n16.cpp,array_of_structs,esp32,n_states,16
fsm_array_of_structs_esp32_n32,fsm_array_of_structs_esp32_n32.cpp,array_of_structs,esp32,n_states,32
fsm_array_of_structs_esp32_n64,fsm_array_of_structs_esp32_n64.cpp,array_of_structs,esp32,n_states,64
fsm_array_of_structs_esp32_n128,fsm_array_of_structs_esp32_n128.cpp,array_of_structs,esp32,n_states,128
fsm_indexed_table_esp32_n4,fsm_indexed_table_esp32_n4.cpp,indexed_table,esp32,n_states,4
fsm_indexed_table_esp32_n8,fsm_indexed_table_esp32_n8.cpp,indexed_table,esp32,n_states,8
fsm_indexed_table_esp32_n16,fsm_indexed_table_esp32_n16.cpp,indexed_table,esp32,n_states,16
fsm_indexed_table_esp32_n32,fsm_indexed_table_esp32_n32.cpp,indexed_table,esp32,n_states,32
fsm_indexed_table_esp32_n64,fsm_indexed_table_esp32_n64.cpp,indexed_table,esp32,n_states,64
fsm_indexed_table_esp32_n128,fsm_indexed_table_esp32_n128.cpp,indexed_table,esp32,n_states,128
fsm_state_object_esp32_n4,fsm_state_object_esp32_n4.cpp,state_object,esp32,n_states,4
fsm_state_object_esp32_n8,fsm_state_object_esp32_n8.cpp,state_object,esp32,n_states,8
fsm_state_object_esp32_n16,fsm_state_object_esp32_n16.cpp,state_object,esp32,n_states,16
fsm_state_object_esp32_n32,fsm_state_object_esp32_n32.cpp,state_object,esp32,n_states,32
fsm_state_object_esp32_n64,fsm_state_object_esp32_n64.cpp,state_object,esp32,n_states,64
fsm_state_object_esp32_n128,fsm_state_object_esp32_n128.cpp,state_object,esp32,n_states,128
fsm_hsm_nested_esp32_n2,fsm_hsm_nested_esp32_n2.cpp,hsm_nested,esp32,depth,2
fsm_hsm_nested_esp32_n4,fsm_hsm_nested_esp32_n4.cpp,hsm_nested,esp32,depth,4
fsm_hsm_nested_esp32_n6,fsm_hsm_nested_esp32_n6.cpp,hsm_nested,esp32,depth,6
fsm_hsm_nested_esp32_n8,fsm_hsm_nested_esp32_n8.cpp,hsm_nested,esp32,depth,8
fsm_hsm_nested_esp32_n10,fsm_hsm_nested_esp32_n10.cpp,hsm_nested,esp32,depth,10
fsm_hsm_nested_esp32_n12,fsm_hsm_nested_esp32_n12.cpp,hsm_nested,esp32,depth,12
